ï»¿web-scraper-order,web-scraper-start-url,department,department-href,courseprefix,course_id,title,lectures,labs,units,prequisites,concurrent,corequisites,recommended,term_offered,description,,
1539934914-2082,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 421,Mass Transfer Operations,4,,4,"ENVE 325, ENVE 331, ENVE 304 or ME 302, ENVE 264 or ME 341",,,,SP,"Theory of mass transfer principles applied to environmental problems.  Diffusion and dispersion modeling of contaminant transport.  Design principles of scrubbers, absorbers, and membrane systems for air and water pollution control.  4 lectures.",,
1539934914-2083,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 426,Air Quality Measurements,2,1,3,"ENVE 325, CHEM 212/312, ENVE 264 or ME 341, STAT 312, and ENGL 149",,,,SP,"Planning and conducting air quality measurements in the atmosphere, indoors and at the source.  Topics include quality control, calibration, and instrument operation for particulate matter, gas and meteorological measurements.  2 lectures, 1 laboratory.",,
1539934914-2084,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 434,Water Chemistry and Water Quality Measurements,3,1,4,"CHEM 125 or CHEM 129, ENVE 330 or ENVE 331",,,,W,"Aquatic environmental chemistry and water quality measurements.  Equilibrium chemistry, carbonate systems, redox reactions, and electrochemistry.  Laboratories include topics such as measurement of suspended solids, turbidity, alkalinity, BOD, and coliform detection.  Quality analysis and control.  3 lectures, 1 laboratory.",,
1539934914-2085,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 436,Introduction to Hazardous Waste Management,4,,4,ENVE 325 and ENVE 331,,,,W,"Overview of hazardous waste generation, federal and state regulations, storage, transport, treatment, and remediation.  Principles of toxicology, unit operations and processes for the treatment, reduction, and remediation of wastes.  Ultimate disposal including incineration, solidification, and bioremediation 4 lectures.",,
1539934914-2086,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 438,Water and Wastewater Treatment Design,3,,3,ENVE 331 and ME 341 or ENVE 264,,,,"F, SP","Theory and design of facilities for physical and chemical treatment of water and wastewater, biological treatment of wastewater, and treatment and disposal of sludge.  3 lectures.",,
1539934914-2087,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 439,Sustainable Solid Waste Engineering,3,1,4,ENVE 325 and ENVE 331; or graduate standing,,,,W,"Design and analysis of recycling, composting, anaerobic digestion, gasification, and combustion systems for the recovery of resources and energy from solid wastes.  Field trips required.  3 lectures, 1 laboratory.",,
1539934914-2088,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 443,Bioremediation Engineering,3,1,4,ENVE 331,,,,SP,"State-of-the-art bioremediation technologies for soil, groundwater and contaminated air stream remediation and pollution prevention.  Introduction to engineering design combining biogenetics, reactor configuration, and basic biological and engineering principles.  Various in-situ and ex-situ technologies.  Field trip may be required.  3 lectures, 1 laboratory.",,
1539934914-2089,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 450,Industrial Pollution Prevention,3,1,4,ENVE 331,,,,SP,"Theory and case studies of innovative industrial waste minimization and resource conservation through principles of pollution prevention.  Life-cycle assessment, pollution prevention, economic analysis, and sustainable designs.  3 lectures, 1 laboratory.",,
1539934914-2090,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 455,Environmental Health and Safety,4,,4,ENVE 331,,,,SP,"Physical, chemical and biological hazards associated with industrial processes.  Toxicology.  Safety analysis and design.  Causes and prevention of occupational and environmental hazards.  Development and implementation of industrial hygiene programs.  4 lectures.",,
1539934914-2091,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 466,Senior Project Design Laboratory I,,2,2,ENVE 438 and senior standing,,CE 336,CE 465,F,"Capstone team project on a complex, integrated design problem typical of the environmental engineering profession.  Formal reports and presentations are prepared.  Non-technical issues addressed:  ethics, teamwork, leadership, communication, and professional practice.  2 laboratories.",,
1539934914-2092,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 467,Senior Project Design Laboratory II,,2,2,ENVE 466,,,,W,Continuation of ENVE 466.  Continuation of capstone project by individuals or teams with submission of final reports and presentations 2 laboratories.,,
1539934914-2093,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 470,Selected Advanced Topics,1 to 4,,1-4,Consent of instructor,,,,TBD,Directed group study of selected topics for advanced students.  Open to undergraduate and graduate students.  Class Schedule will list topic selected.  Total credit limited to 8 units.  1 to 4 lectures.,,
1539934914-2094,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 471,Selected Advanced Laboratory,,1 to 4,1-4,Consent of instructor,,,,TBD,Directed group laboratory study of selected topics for advanced students.  Open to undergraduate and graduate students.  Class Schedule will list topic selected.  Total credit limited to 8 units.  1 to 4 laboratories.,,
1539934914-2095,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 480,Environmental Engineering of Energy,3,1,4,ENVE 304 or ME 302; ENVE 331,,,ENVE 325,F,"Environmental impacts of conventional and renewable energy production and of emerging renewable energy development.  Environmental engineering methods for mitigation of impacts of fossil fuel processing, including hydrofracking.  Greenhouse gas inventory and management.  Field trips required.  3 lectures, 1 laboratory.",,
1539934914-2096,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 495,Cooperative Education Experience,,,12,Sophomore standing and consent of instructor,,,,TBD,"Full-time work experience in business, industry, government, and other areas of student career interest.  Positions are paid and usually require relocation and registration in course for two consecutive quarters.  A more fully developed formal report and evaluation by work supervisor required.  Credit/No Credit grading only.  No major credit allowed; total credit limited to 24 units.",,
1539934914-2097,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 500,Individual Study,,,1-3,Graduate standing and consent of department chair,,,,"F, W, SP",Advanced study planned and completed under the direction of a member of the department faculty.  Open only to graduate students who have demonstrated ability to do independent work.  Total credit limited to 4 units.,,
1539934914-2098,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 525,Indoor Air Quality Engineering,4,,4,ENVE 264 or ME 341; senior or graduate standing,,,ENVE 325,W,"Pollutants sources and sinks indoors, transport processes, ventilation, and engineering controls.  Human factors and engineering factors that influence the quality of the indoor environment.  4 lectures.",,
1539934914-2099,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 535,Physico-Chemical Water and Wastewater Treatment,4,,4,Graduate standing or consent of instructor,,,,F,"Physical and chemical processes used in potable water treatment and advanced wastewater treatment.  Coagulation, flocculation, sedimentation, filtration, membrane separation, disinfection, and absorption.  Wastewater recycling regulations.  Integration of treatment processes.  4 lectures.",,
1539934914-2100,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 536,Biological Wastewater Treatment Processes Engineering,4,,4,Graduate standing or consent of instructor,,,,W,"Fundamentals of biological wastewater treatment.  Suspended and attached growth bioreactors.  Activated sludge, biotower, and anaerobic process design.  Biological nutrient removal.  4 lectures.",,
1539934914-2101,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 537,Decentralized Wastewater Management,4,,4,ENVE 438 or Graduate standing,,,,SP,"Design and management of decentralized wastewater treatment systems.  Septic tanks, aerobic nutrient removal systems, ponds, constructed wetlands, and improved latrines; surface and subsurface effluent recycling or disposal; and septage management.  4 lectures.",,
1539934914-2102,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 542,Sustainable Environmental Engineering,3,1,4,Graduate or senior standing or consent of instructor,,,,F,"Critical analysis of environmental engineering practices such as solid waste management, recycling, and wastewater treatment from the viewpoint of energy efficiency, lifecycle cost, and sustainability.  Both laboratory experiments and computer models to assess sustainability.  3 lectures, 1 laboratory.",,
1539934914-2103,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 570,Selected Advanced Topics,,,1-4,Graduate standing or consent of instructor,,,,TBD,Directed group study of selected topics for advanced students.  Open to graduate students.  Class Schedule will list topic selected.  Total credit limited to 8 units.  1-4 seminars.,,
1539934914-2104,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 571,Selected Advanced Laboratory,,4,1-4,Consent of instructor,,,,TBD,Directed group laboratory study of selected topics for advanced students.  Open to undergraduate and graduate students.  Class Schedule will list topic selected.  Total credit limited to 8 units.  1-4 laboratories.,,
1539934914-2105,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 581,Biochemical Engineering,,1,4,CHEM 312 and MCRO 221,,,,F,"Types of microorganisms and microbially-mediated biochemical reactions for biotechnology applications.  Stoichiometric and thermodynamic principles for microbial growth and metabolism.  Material and energy balances for aerobic and anaerobic growth and bioreactor design.  Kinetics of enzyme catalyzed reactions.  Field trips required.  3 seminars, 1 laboratory.  Crosslisted as ENGR/ENVE 581.",,
1539934914-2106,http://catalog.calpoly.edu/coursesaz,Environmental Engineering (ENVE),http://catalog.calpoly.edu/coursesaz/enve/,ENVE,ENVE 599,Design Project (Thesis),,,1-9,Graduate standing,,,,"F, W, SP","Each individual or group will be assigned a project for solution under faculty supervision as a requirement for the master's degree, culminating in a written report/thesis.",,
1539934940-2498,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 140,Careers in Natural Resources Management and Environmental Sciences,,,1,,,,,F,Analysis and development of career goals in natural resources and environmental sciences. Acquainting students with potential career options and preparation of academic plans for the majors in the Natural Resources Management and Environmental Sciences Department. Credit/No Credit grading. 1 activity. Crosslisted as ERSC/NR 140.,,
1539934940-2499,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 144,Introduction to Earth Science,3,,4,,,,,F,"Survey of fundamental processes of Earth science. Application of systems thinking to understanding the dynamic interactions among geological, geographic, soils and human factors in shaping the Earth. 3 lectures, 1 activity.",,
1539934940-2500,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 200,Special Problems for Undergraduates,,,1-2,Consent of instructor,,,,"F, W, SP","Individual investigation, research, studies, or surveys of selected problems.  Total credit limited to 12 units, with a maximum of 2 units per quarter.  Crosslisted as ERSC/SS 200.",,
1539934940-2501,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 223,Rocks and Minerals,3,1,4,"SS 121, CHEM 111 or CHEM 127",,,,W,"Origin, composition, identification and weathering of rocks, minerals, and clays important in the development of soils.  Parent materials as related to the nature and properties of soils.  3 lectures, 1 laboratory.",,
1539934940-2502,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 250,Physical Geography,4,,4,,,,,"F, W","Addresses the origins and patterns of the earth's diverse assemblage of climates, landforms, biota and soils. A major focus on relationship between human cultures and these earthly environments. 4 lectures. Crosslisted as ERSC/GEOG 250.",,
1539934940-2503,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 270,Selected Topics,1 to 4,,1-4,Consent of instructor,,,,TBD,Directed group study of selected topics.  The Schedule of Classes will list title selected.  Total credit limited to 12 units.  1 to 4 lectures.  Crosslisted as ERSC/SS 270.,,
1539934940-2504,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 301,Earth Sciences/Soils Science Practicum,,,1-2,SS 110 or SS 121,,,,TBD,"Supervised practice in technical, educational, professional, and operational applications related to earth sciences or soil science.  Students participate in faculty-supervised group or individual activities that support educational and professional goals.  Credit/No Credit grading only.  Total credit limited to 12 units.  1-2 activities.  Crosslisted as ERSC/SS 301.",,
1539934940-2505,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 303,Soil Erosion and Water Conservation,3,,4,LA/NR 218 or GEOG 318; and SS 121,,,,F,"Evaluation of soil and water conservation and best management practices for agriculture, urban, riparian, and rangelands.  Study of process and control of soil erosion, water quality, and stormwater.  Development of an erosion and sediment control plan or farm water quality plan to meet regulatory requirements.  3 lectures, 1 activity.",,
1539934940-2506,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 323,Geomorphology,2,1,4,SS 121 and GEOL 201,,,,"F, SP","Recognizing and identifying major landforms and their components by interpretation of aerial photographs and topographic maps, and observations.  Emphasis on analyzing common landforms in the western United States for application in soil science, physical geography, hydrology, and geology.  2 lectures, 1 laboratory, 1 activity.",,
1539934940-2507,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 325,Climate and Humanity,4,,4,Junior standing,,,,TBD,Geographic perspective on the interrelationships between climate and human cultures.  Effects of people on climate and the influence of climate and weather upon human activities and behavior.  Focus on global human conditions which are responsible for the alteration of climate and in turn are vulnerable to climate change.  4 lectures.  Crosslisted as ERSC/GEOG 325.,,
1539934940-2508,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 333,Human Impact on the Earth,4,,4,Junior standing,,,,TBD,"Global assessment of the impact of humans on the earth's vegetation, animals, soil, water and atmosphere.  Emphasis on problems stemming from the interactions of human attitudes, technologies, and population with natural resources.  4 lectures.  Crosslisted as ERSC/GEOG 333.",,
1539934940-2509,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 335,"Soil, Water, and Civilization",4,,4,Junior standing and completion of GE Area B,,,,"W, SU","Explore past civilizations and how management of soil, water, and other natural resources allowed them to flourish, decline, or fail.  Sustainability of natural resource use in modern/future societies.  Issues include sustainability, agricultural practices, deforestation, water quality, and land management.  4 lectures.  Fulfills GE Area F.",,
1539934940-2510,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 339,Internship in Environmental Earth and Soil Sciences,,,1-12,Consent of internship instructor,,,,"F, W, SP",Selected students will spend up to 12 weeks with an approved firm or agency engaged in work and study related to their major.  A detailed written proposal and written interim and final reports required.  One unit of credit may be allowed for each full week of internship.  Credit/No Credit grading.  Crosslisted as ERSC/SS 339.,,
1539934940-2511,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 363,Undergraduate Seminar,,,2,Junior standing,,,,"F, W, SP","Review of current research, experiments, and problems related to the student's major field of interest.  Presentation of reports on problems or research activities in preparation for the senior project.  Introduction to professional practices within a student's major field of interest.  2 seminars.",,
1539934940-2512,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 400,Special Problems for Advanced Undergraduates,,,1-4,Consent of instructor,,,,"F, W, SP","Individual investigation, research, studies or surveys of selected problems.  Total credit limited to 12 units.  Crosslisted as ERSC/SS 400.",,
1539934940-2513,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 401,Field-Geology Methods,1,,4,"GEOL 102 or GEOL 201, GEOL 241, GEOL 415, ERSC 223, ERSC 323",,,,W,"Collecting and interpreting field-geologic data.  Description of sedimentary rocks and construction of stratigraphic columns.  Mapping geologic structures in the field.  Surficial geologic stratigraphy and surficial geologic mapping.  Understanding geologic processes through field study.  Communicating results of field study.  1 lecture, 3 activities.  Crosslisted as ERSC/GEOL 401.",,
1539934940-2514,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 402,Geologic Mapping,,,4,ERSC/GEOL 401,,,,SP,Bedrock geologic mapping on topographic maps and aerial photos.  Surficial geologic mapping on topographic maps and aerial photos.  Correlating and defining surficial geologic map units on the basis of soil development.  Understanding landscape evolution using soil development 4 activities.  Crosslisted as ERSC/GEOL 402.,,
1539934940-2515,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 414,Global and Regional Climatology,3,1,4,Junior standing,,,,TBD,"The earth's pattern of climates and the physical processes that account for them.  Focus on interrelationships between climate and the physical/biological and cultural environments.  Special emphasis on modern climate changes and their consequences.  3 lectures, 1 laboratory.  Crosslisted as ERSC/GEOG 414.",,
1539934940-2516,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 415,Applied Meteorology and Climatology,3,,4,ERSC/GEOG 250,,,,TBD,"Physical processes in the atmosphere that determine regional weather, climate and climate variability.  Surface and satellite systems for weather observation, and weather/climate modeling.  Dynamics of weather systems, including thunderstorms and hurricanes.  Emphases on weather/climate affecting agriculture and other human activities.  3 lectures, 1 activity.  Crosslisted as ERSC/GEOG 415.",,
1539934940-2517,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 470,Selected Advanced Topics,1 to 4,,1-4,Consent of instructor,,,,TBD,Directed group study of selected topics for advanced students.  Open to undergraduate and graduate students.  The Schedule of Classes will list title selected.  Total credit limited to 12 units.  1 to 4 lectures.  Crosslisted as ERSC/SS 470.,,
1539934940-2518,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 471,Selected Advanced Laboratory,,1 to 4,1-4,Consent of instructor,,,,TBD,Directed group laboratory study of selected topics for advanced students.  Open to undergraduate and graduate students.  The Schedule of Classes will list title selected.  Total credit limited to 8 units.  1 to 4 laboratories.  Crosslisted as ERSC/SS 471.,,
1539934940-2519,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 476,Senior Project - Advanced Internship Experience in Environmental Science/Management,,,3,Completion of GE Area A with a grade of C- or better; and ERSC 363 or NR 306 or NR 326,,,,"F,W,SP,SU",Independent internship experience conducted under faculty supervision focusing on a discipline area of environmental science/management.  Completion of a project as a component of their internship.  Satisfies the senior project requirement.  Minimum 90 hours required.  Crosslisted as ERSC/NR 476.,,
1539934940-2520,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 477,Senior Project - Research Experience in Environmental Science,1,2,3,Completion of GE Area A with a grade of C- or better; and ERSC 363 or NR 306 or NR 326,,,,W,"Guided research experience in a specific area of environmental science.  Implementation of materials and methods.  Collection, analysis and interpretation of data.  Completion of formal written report.  Satisfies senior project requirement.  1 lecture, 2 laboratories.  Crosslisted as ERSC/NR 477.",,
1539934940-2521,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 478,Senior Project - Current Topics in Environmental Science/Management,3,,3,Completion of GE Area A with a grade of C- or better; and ERSC 363 or NR 306 or NR 326,,,,"F, W, SP","Critical evaluation and formal presentation of current issues in environmental science/management.  Evaluation of current topics, analysis of supporting evidence, and synthesis and presentation of resulting perspectives on different approaches to current challenges in environmental science/management.  Satisfies the senior project requirement.  3 lectures.  Crosslisted as ERSC/NR 478.",,
1539934940-2522,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 479,Senior Project - Independent Study,,,3,Completion of GE Area A with a grade of C- or better; ERSC 363 or NR 306 or NR 326; and consent of instructor,,,,"F, W, SP",Selection and completion of a project under faculty supervision.  Projects typical of problems which graduates must solve in their fields of employment.  Project results are presented in a formal report.  Minimum 90 hours total time.  Crosslisted as ERSC/NR 479.,,
1539934940-2523,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 544,Earth Sciences for Educators,3,,3,Graduate standing and consent of instructor,,,,TBD,"An interdisciplinary earth sciences course which emphasizes the interactions of multiple systems of air, water, land, life, and human society.  Designed for teachers and students seeking teaching credential.  Incorporates scientific theory, learning resources, and applications in the field.  3 lectures.  Not open to students in Soil Science specialization under MS Agriculture.",,
1539934940-2524,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 570,Selected Topics in Earth Science,,,1-4,Graduate standing or consent of instructor,,,,TBD,Directed group study of selected topics for advanced students.  The Schedule of Classes will list topic selected.  Total credit limited to 12 units.  1 to 4 seminars.,,
1539934940-2525,http://catalog.calpoly.edu/coursesaz,Earth Science (ERSC),http://catalog.calpoly.edu/coursesaz/ersc/,ERSC,ERSC 571,Selected Advanced Laboratory,,4,1-4,Graduate standing or consent of instructor,,,,TBD,Directed group laboratory study of selected topics for advanced students.  Open to undergraduate and graduate students.  The Schedule of Classes will list title selected.  Total credit limited to 8 units.  1-4 laboratories.,,
1539934911-2034,http://catalog.calpoly.edu/coursesaz,Ethnic Studies (ES),http://catalog.calpoly.edu/coursesaz/es/,ES,ES 112,"Race, Culture and Politics in the United States",4,,4,,,,,"F, W, SP","Introductory and interdisciplinary study of the ways that race and ethnicity are created by both historical processes and American institutional formation - specifically social, political, economic, legal and cultural institutions. Special attention paid to the interlocking systems of race, class, gender and sexuality. 4 lectures. Crosslisted as ES/HNRS 112. Fulfills GE D1 and USCP.",,
1539934911-2035,http://catalog.calpoly.edu/coursesaz,Ethnic Studies (ES),http://catalog.calpoly.edu/coursesaz/es/,ES,ES 114,Introduction to Ethnic Studies: Race in the United States,4,,4,,,,,W,"Racial equality movements, including the history of Ethnic Studies (1960's & 70's), and the social practices, institutions, cultural representations/discourses, and public policies that construct and reinforce racism, racist ideology, and pseudo-scientific conceptions of race and intersections with gender and class. 4 lectures. Fulfills USCP.",,
1539934911-2036,http://catalog.calpoly.edu/coursesaz,Ethnic Studies (ES),http://catalog.calpoly.edu/coursesaz/es/,ES,ES 200,Special Problems,,,1-4,Consent of department chair,,,,"F, W, SP","Supervised investigation, including a written report, of a topic chosen with prior approval of instructor.  Total credit limited to 4 units.",,
1539934911-2037,http://catalog.calpoly.edu/coursesaz,Ethnic Studies (ES),http://catalog.calpoly.edu/coursesaz/es/,ES,ES 212,Global Origins of United States Cultures,4,,4,,,,,TBD,"How the global dispersal of Europeans, Asians, and Africans, the hemispheric dispersal of Latin Americans, and the forced internal migration of Native Americans have contributed to American cultural heritage and the struggles for ethnic, class and gender equality, and justice. 4 lectures. Crosslisted as ES/HNRS 212. Fulfills GE D3 and USCP.",,
1539934911-2038,http://catalog.calpoly.edu/coursesaz,Ethnic Studies (ES),http://catalog.calpoly.edu/coursesaz/es/,ES,ES 215,Planning for and with Multiple Publics,4,,4,Completion of GE Area D1,,,ES 112,TBD,"How the social/spatial relationships among racial/ethnic and gender groups are expressed in terms of human settlement patterns, civic involvement and everyday negotiations.  Ways in which segregation and marginalization are expressed in western and non-western contexts.  4 lectures.  Crosslisted as CRP/ES 215.  Fulfills USCP.",,
1539934911-2039,http://catalog.calpoly.edu/coursesaz,Ethnic Studies (ES),http://catalog.calpoly.edu/coursesaz/es/,ES,ES 241,Survey of Indigenous Studies,4,,4,,,,,"F, W, SP","A survey of the interdisciplinary field of indigenous studies and specifically the social, political, economic, legal, and cultural institutions of American Indian, Native Alaskan, and Native Hawaiian peoples within a transnational and global context. Special attention paid to the interlocking systems of race, class, gender, and sexuality, particularly within but not limited to the United States. 4 lectures. Fulfills GE D3 and USCP.",,
1539934911-2040,http://catalog.calpoly.edu/coursesaz,Ethnic Studies (ES),http://catalog.calpoly.edu/coursesaz/es/,ES,ES 242,Survey of Africana Studies,4,,4,,,,,"F, W, SP","A survey of the interdisciplinary field of Africana Studies and specifically the social, political, economic, legal, and cultural institutions of African American, Afro-Caribbean, and African diasporic peoples within a transnational and global context. Special attention paid to the interlocking systems of race, class, gender, and sexuality, particularly within but not limited to the United States. 4 lectures. Fulfills GE D3 and USCP.",,
1539934911-2041,http://catalog.calpoly.edu/coursesaz,Ethnic Studies (ES),http://catalog.calpoly.edu/coursesaz/es/,ES,ES 243,Survey of Latino/a Studies,4,,4,,,,,"F, W, SP","A survey of the interdisciplinary field of Latino/a Studies and specifically the social, political, economic, legal, and cultural institutions of Chicano/a and other Latino/a peoples within a transnational and global context. Special attention paid to the interlocking systems of race, class, gender, and sexuality, particularly within but not limited to the United States. Course may be offered in classroom-based or online format. 4 lectures. Fulfills GE D3 and USCP.",,
1539934911-2042,http://catalog.calpoly.edu/coursesaz,Ethnic Studies (ES),http://catalog.calpoly.edu/coursesaz/es/,ES,ES 244,Survey of Asian American Studies,4,,4,,,,,"F, W, SP","A survey of the interdisciplinary field of Asian American Studies and specifically the social, political, economic, legal, and cultural institutions of West Asian, South Asian, Southeast Asian, and East Asian peoples in the United States within a transnational and global context. Special attention paid to the interlocking systems of race, class, gender, and sexuality, particularly within but not limited to the United States. 4 lectures. Fulfills GE D3 and USCP.",,
1539934911-2043,http://catalog.calpoly.edu/coursesaz,Ethnic Studies (ES),http://catalog.calpoly.edu/coursesaz/es/,ES,ES 270,Selected Topics,1 to 4,,1-4,Open to undergraduate students and consent of instructor,,,,TBD,Directed group study of selected topics.  The Schedule of Classes will list title selected.  Total credit limited to 8 units.  1 to 4 lectures.,,
1539934911-2044,http://catalog.calpoly.edu/coursesaz,Ethnic Studies (ES),http://catalog.calpoly.edu/coursesaz/es/,ES,ES 300,Chicano/a Non-Fiction Literature,4,,4,Junior standing; completion of GE Area A with a grade of C- or better; and completion of GE Area C1,,,,SP,"Overview of contemporary Chicano/a non-fiction literature since 1848.  Thematic concerns, literary criticism, literary techniques, historical and socio-cultural factors influencing non-fiction Chicano/a literary genres.  Instructor reserves option to select non-fiction genres to be studied.  4 lectures.  Fulfills GE C4 except for Comparative Ethnic Studies majors.  Fulfills USCP.",,
